english_word,skipped_file,uploaded_file_instead
"Bag","Bag.png","Bag.jpg"
"Book","Book.png","Book.jpg"
"Down","Down.png","Down.jpg"
"Family","Family.png","Family.jpg"
"Friend","Friend.png","Friend.jpg"
"House","House.jpg","House.jfif"
"Trace","Trace.png","Trace.jpg"
